country,year,sex,name,count
AU,1952,F,Alison,98
AU,1952,F,Ann,254
AU,1952,F,Anne,497
AU,1952,F,Annette,234
AU,1952,F,Barbara,434
AU,1952,F,Beverley,235
AU,1952,F,Brenda,70
AU,1952,F,Bronwyn,115
AU,1952,F,Carmel,86
AU,1952,F,Carol,362
AU,1952,F,Carolyn,246
AU,1952,F,Catherine,286
AU,1952,F,Cheryl,601
AU,1952,F,Christine,1346
AU,1952,F,Colleen,243
AU,1952,F,Deborah,171
AU,1952,F,Denise,381
AU,1952,F,Diana,81
AU,1952,F,Diane,412
AU,1952,F,Dianne,457
AU,1952,F,Dorothy,90
AU,1952,F,Elaine,120
AU,1952,F,Elizabeth,612
AU,1952,F,Fay,67
AU,1952,F,Frances,129
AU,1952,F,Gail,454
AU,1952,F,Gayle,90
AU,1952,F,Glenda,176
AU,1952,F,Gloria,85
AU,1952,F,Heather,199
AU,1952,F,Helen,648
AU,1952,F,Irene,139
AU,1952,F,Jacqueline,99
AU,1952,F,Jan,130
AU,1952,F,Jane,121
AU,1952,F,Janet,255
AU,1952,F,Janette,126
AU,1952,F,Janice,291
AU,1952,F,Jean,65
AU,1952,F,Jeanette,152
AU,1952,F,Jennifer,823
AU,1952,F,Jill,138
AU,1952,F,Jillian,84
AU,1952,F,Joan,125
AU,1952,F,Joanne,94
AU,1952,F,Joy,125
AU,1952,F,Judith,825
AU,1952,F,Julie,543
AU,1952,F,June,88
AU,1952,F,Karen,263
AU,1952,F,Kathleen,329
AU,1952,F,Kathryn,156
AU,1952,F,Kay,247
AU,1952,F,Kaye,72
AU,1952,F,Kerrie,157
AU,1952,F,Kerry,388
AU,1952,F,Kim,67
AU,1952,F,Leonie,148
AU,1952,F,Lesley,271
AU,1952,F,Linda,301
AU,1952,F,Lorraine,360
AU,1952,F,Louise,116
AU,1952,F,Lynette,756
AU,1952,F,Lynn,79
AU,1952,F,Lynne,177
AU,1952,F,Maree,118
AU,1952,F,Margaret,1112
AU,1952,F,Maria,199
AU,1952,F,Marie,147
AU,1952,F,Marilyn,336
AU,1952,F,Marion,84
AU,1952,F,Mary,433
AU,1952,F,Maureen,294
AU,1952,F,Michele,91
AU,1952,F,Michelle,72
AU,1952,F,Narelle,127
AU,1952,F,Pamela,417
AU,1952,F,Patricia,739
AU,1952,F,Paula,76
AU,1952,F,Pauline,160
AU,1952,F,Penelope,87
AU,1952,F,Rhonda,412
AU,1952,F,Robin,89
AU,1952,F,Robyn,747
AU,1952,F,Rosemary,155
AU,1952,F,Roslyn,203
AU,1952,F,Ruth,163
AU,1952,F,Sally,74
AU,1952,F,Sandra,448
AU,1952,F,Sharon,185
AU,1952,F,Shirley,178
AU,1952,F,Sue,66
AU,1952,F,Susan,1170
AU,1952,F,Susanne,123
