country,year,sex,name,count
CA,1991,F,Aaron,8
CA,1991,F,Abbey,18
CA,1991,F,Abbie,6
CA,1991,F,Abby,34
CA,1991,F,Abigail,94
CA,1991,F,Acacia,7
CA,1991,F,Ada,11
CA,1991,F,Adara,5
CA,1991,F,Adela,5
CA,1991,F,Adelaide,11
CA,1991,F,Adele,24
CA,1991,F,Adelina,5
CA,1991,F,Adeline,11
CA,1991,F,Adelle,10
CA,1991,F,Adina,9
CA,1991,F,Adria,5
CA,1991,F,Adrian,5
CA,1991,F,Adriana,71
CA,1991,F,Adriane,7
CA,1991,F,Adrianna,48
CA,1991,F,Adrianne,9
CA,1991,F,Adrienne,106
CA,1991,F,Afton,5
CA,1991,F,Aganetha,10
CA,1991,F,Agata,10
CA,1991,F,Agatha,14
CA,1991,F,Agathe,7
CA,1991,F,Aglae,6
CA,1991,F,Agnes,24
CA,1991,F,Agnieszka,7
CA,1991,F,Ahsley,6
CA,1991,F,Aicha,6
CA,1991,F,Aida,8
CA,1991,F,Aidan,7
CA,1991,F,Aileen,21
CA,1991,F,Aimee,96
CA,1991,F,Ainsley,30
CA,1991,F,Ainslie,6
CA,1991,F,Aisha,47
CA,1991,F,Aishah,7
CA,1991,F,Aislinn,16
CA,1991,F,Aja,6
CA,1991,F,Akosua,6
CA,1991,F,Akua,5
CA,1991,F,Alaina,29
CA,1991,F,Alana,213
CA,1991,F,Alanah,25
CA,1991,F,Alanna,229
CA,1991,F,Alannah,99
CA,1991,F,Alaura,5
CA,1991,F,Alayna,12
CA,1991,F,Alea,5
CA,1991,F,Aleah,11
CA,1991,F,Aleasha,8
CA,1991,F,Alecia,22
CA,1991,F,Aleena,5
CA,1991,F,Aleesha,9
CA,1991,F,Aleigha,6
CA,1991,F,Aleisha,24
CA,1991,F,Alejandra,10
CA,1991,F,Aleksandra,18
CA,1991,F,Alena,16
CA,1991,F,Alesha,23
CA,1991,F,Aleshia,11
CA,1991,F,Alesia,8
CA,1991,F,Alessandra,50
CA,1991,F,Alessia,35
CA,1991,F,Aletta,5
CA,1991,F,Alex,58
CA,1991,F,Alex-Anne,5
CA,1991,F,Alexa,142
CA,1991,F,Alexander,8
CA,1991,F,Alexandra,1806
CA,1991,F,Alexandre,25
CA,1991,F,Alexandrea,30
CA,1991,F,Alexandria,199
CA,1991,F,Alexandrine,46
CA,1991,F,Alexane,5
CA,1991,F,Alexanne,12
CA,1991,F,Alexe,14
CA,1991,F,Alexia,43
CA,1991,F,Alexie,16
CA,1991,F,Alexis,194
CA,1991,F,Ali,17
CA,1991,F,Alia,16
CA,1991,F,Alice,103
CA,1991,F,Alicia,540
CA,1991,F,Alida,10
CA,1991,F,Alina,16
CA,1991,F,Aline,9
CA,1991,F,Alisa,35
CA,1991,F,Alisha,200
CA,1991,F,Alishia,12
CA,1991,F,Alison,251
CA,1991,F,Alissa,69
CA,1991,F,Alix,44
CA,1991,F,Alixandra,9
CA,1991,F,Aliya,12
CA,1991,F,Aliza,12
CA,1991,F,Alizee,8
CA,1991,F,Allana,17
CA,1991,F,Allanah,8
CA,1991,F,Allegra,6
CA,1991,F,Allicia,7
CA,1991,F,Allie,18
CA,1991,F,Allisha,7
CA,1991,F,Allison,411
CA,1991,F,Allissa,7
CA,1991,F,Ally,9
CA,1991,F,Allysa,14
CA,1991,F,Allysha,16
CA,1991,F,Allyson,59
CA,1991,F,Allyssa,21
CA,1991,F,Alma,6
CA,1991,F,Alora,9
CA,1991,F,Althea,5
CA,1991,F,Alvina,7
CA,1991,F,Alycia,70
CA,1991,F,Alysa,17
CA,1991,F,Alyse,14
CA,1991,F,Alysha,192
CA,1991,F,Alyshia,36
CA,1991,F,Alysia,29
CA,1991,F,Alyson,53
CA,1991,F,Alyssa,890
CA,1991,F,Alyssha,8
CA,1991,F,Alyssia,25
CA,1991,F,Alysson,5
CA,1991,F,Alyx,7
CA,1991,F,Alyxandra,7
CA,1991,F,Amal,13
CA,1991,F,Aman,5
CA,1991,F,Amanada,9
CA,1991,F,Amanda,2515
CA,1991,F,Amanda-Lee,7
CA,1991,F,Amanda-Lynn,6
CA,1991,F,Amandeep,25
CA,1991,F,Amani,8
CA,1991,F,Amanjit,6
CA,1991,F,Amanpreet,6
CA,1991,F,Amara,18
CA,1991,F,Amaris,5
