country,year,sex,name,count
ES,1924,F,Amparo,1743
ES,1924,F,Ana,2886
ES,1924,F,Ana Maria,1284
ES,1924,F,Angela,1846
ES,1924,F,Angeles,2104
ES,1924,F,Antonia,5067
ES,1924,F,Asuncion,1316
ES,1924,F,Aurora,1283
ES,1924,F,Carmen,12420
ES,1924,F,Catalina,1445
ES,1924,F,Concepcion,4126
ES,1924,F,Consuelo,1838
ES,1924,F,Dolores,6259
ES,1924,F,Elena,1167
ES,1924,F,Emilia,1687
ES,1924,F,Encarnacion,2548
ES,1924,F,Esperanza,1146
ES,1924,F,Felisa,1594
ES,1924,F,Francisca,5509
ES,1924,F,Isabel,5194
ES,1924,F,Josefa,8555
ES,1924,F,Josefina,1343
ES,1924,F,Juana,3437
ES,1924,F,Julia,2389
ES,1924,F,Lucia,1043
ES,1924,F,Luisa,1775
ES,1924,F,Manuela,3086
ES,1924,F,Margarita,1766
ES,1924,F,Maria,16509
ES,1924,F,Maria Angeles,1803
ES,1924,F,Maria Carmen,4498
ES,1924,F,Maria Concepcion,1085
ES,1924,F,Maria Dolores,2354
ES,1924,F,Maria Josefa,1376
ES,1924,F,Maria Luisa,2665
ES,1924,F,Maria Pilar,2157
ES,1924,F,Maria Teresa,2226
ES,1924,F,Matilde,1233
ES,1924,F,Mercedes,3130
ES,1924,F,Montserrat,1312
ES,1924,F,Natividad,1112
ES,1924,F,Petra,1061
ES,1924,F,Pilar,4564
ES,1924,F,Purificacion,1176
ES,1924,F,Rosa,3435
ES,1924,F,Rosario,3034
ES,1924,F,Teresa,4151
ES,1924,F,Trinidad,1060
ES,1924,F,Vicenta,1361
ES,1924,F,Victoria,1515
ES,1924,M,Agustin,587
ES,1924,M,Alejandro,376
ES,1924,M,Alfonso,571
ES,1924,M,Andres,735
ES,1924,M,Angel,1668
ES,1924,M,Antonio,5861
ES,1924,M,Benito,334
ES,1924,M,Carlos,497
ES,1924,M,Daniel,314
ES,1924,M,Diego,344
ES,1924,M,Domingo,584
ES,1924,M,Eduardo,458
ES,1924,M,Emilio,750
ES,1924,M,Enrique,844
ES,1924,M,Eugenio,392
ES,1924,M,Felipe,471
ES,1924,M,Felix,725
ES,1924,M,Fernando,762
ES,1924,M,Francisco,4901
ES,1924,M,Gregorio,511
ES,1924,M,Ignacio,321
ES,1924,M,Jaime,502
ES,1924,M,Jesus,1674
ES,1924,M,Joan,384
ES,1924,M,Joaquin,972
ES,1924,M,Jose,8395
ES,1924,M,Jose Antonio,470
ES,1924,M,Jose Luis,659
ES,1924,M,Jose Maria,1252
ES,1924,M,Josep,523
ES,1924,M,Juan,3842
ES,1924,M,Juan Antonio,340
ES,1924,M,Juan Jose,365
ES,1924,M,Julian,725
ES,1924,M,Julio,679
ES,1924,M,Lorenzo,379
ES,1924,M,Luis,1775
ES,1924,M,Manuel,5338
ES,1924,M,Mariano,660
ES,1924,M,Miguel,1641
ES,1924,M,Pablo,431
ES,1924,M,Pedro,2055
ES,1924,M,Rafael,1241
ES,1924,M,Ramon,1398
ES,1924,M,Ricardo,439
ES,1924,M,Salvador,601
ES,1924,M,Santiago,598
ES,1924,M,Sebastian,327
ES,1924,M,Tomas,679
ES,1924,M,Vicente,1403
ES,1930,F,Amparo,828
ES,1930,F,Ana,1520
ES,1930,F,Ana Maria,940
ES,1930,F,Angela,809
ES,1930,F,Angeles,984
ES,1930,F,Antonia,2654
ES,1930,F,Asuncion,504
ES,1930,F,Aurora,592
ES,1930,F,Carmen,5898
ES,1930,F,Catalina,642
ES,1930,F,Concepcion,1911
ES,1930,F,Consuelo,791
ES,1930,F,Dolores,3074
ES,1930,F,Elena,493
ES,1930,F,Emilia,729
ES,1930,F,Encarnacion,1311
ES,1930,F,Esperanza,496
ES,1930,F,Felisa,549
ES,1930,F,Francisca,2734
ES,1930,F,Isabel,2570
ES,1930,F,Josefa,4240
ES,1930,F,Josefina,659
ES,1930,F,Juana,1704
ES,1930,F,Julia,976
ES,1930,F,Luisa,793
ES,1930,F,Manuela,1635
ES,1930,F,Margarita,806
ES,1930,F,Maria,6783
ES,1930,F,Maria Angeles,962
ES,1930,F,Maria Carmen,2973
ES,1930,F,Maria Concepcion,445
ES,1930,F,Maria Dolores,1209
ES,1930,F,Maria Jesus,548
ES,1930,F,Maria Josefa,695
ES,1930,F,Maria Luisa,1337
ES,1930,F,Maria Pilar,1376
ES,1930,F,Maria Rosa,483
ES,1930,F,Maria Teresa,1347
ES,1930,F,Matilde,470
ES,1930,F,Mercedes,1438
ES,1930,F,Milagros,521
ES,1930,F,Montserrat,526
ES,1930,F,Pilar,2102
ES,1930,F,Purificacion,514
ES,1930,F,Rosa,1609
ES,1930,F,Rosario,1445
ES,1930,F,Teresa,1702
ES,1930,F,Trinidad,453
ES,1930,F,Vicenta,627
ES,1930,F,Victoria,618
ES,1930,M,Agustin,418
ES,1930,M,Alberto,239
ES,1930,M,Alejandro,255
ES,1930,M,Alfonso,363
ES,1930,M,Andres,561
ES,1930,M,Angel,1230
ES,1930,M,Antonio,4601
ES,1930,M,Carlos,442
ES,1930,M,Daniel,224
ES,1930,M,Diego,301
ES,1930,M,Domingo,412
ES,1930,M,Eduardo,338
ES,1930,M,Emilio,540
ES,1930,M,Enrique,642
ES,1930,M,Eugenio,258
ES,1930,M,Felipe,302
ES,1930,M,Felix,478
ES,1930,M,Fernando,685
ES,1930,M,Francisco,3724
ES,1930,M,Gregorio,316
ES,1930,M,Ignacio,243
ES,1930,M,Jaime,366
ES,1930,M,Jesus,1198
ES,1930,M,Joaquin,695
ES,1930,M,Jose,6095
