country,year,sex,name,count
FR,1900,F,Abeline,5
FR,1900,F,Abelle,5
FR,1900,F,Ada,5
FR,1900,F,Adelaide,195
FR,1900,F,Adelheid,5
FR,1900,F,Adelia,10
FR,1900,F,Adelie,5
FR,1900,F,Adelina,50
FR,1900,F,Adeline,225
FR,1900,F,Adelphine,20
FR,1900,F,Adine,5
FR,1900,F,Adna,5
FR,1900,F,Adolphine,95
FR,1900,F,Adrienne,1030
FR,1900,F,Adèle,660
FR,1900,F,Agathe,110
FR,1900,F,Aglae,20
FR,1900,F,Aglaee,5
FR,1900,F,Agnese,5
FR,1900,F,Agnès,420
FR,1900,F,Aida,5
FR,1900,F,Aima,10
FR,1900,F,Aimable,5
FR,1900,F,Aime,5
FR,1900,F,Aimée,560
FR,1900,F,Albanie,70
FR,1900,F,Alberta,5
FR,1900,F,Alberte,30
FR,1900,F,Albertine,895
FR,1900,F,Albine,30
FR,1900,F,Alcida,5
FR,1900,F,Alcidie,5
FR,1900,F,Alcine,5
FR,1900,F,Aldegonde,5
FR,1900,F,Alexandra,5
FR,1900,F,Alexandrine,410
FR,1900,F,Alexia,10
FR,1900,F,Alexina,20
FR,1900,F,Alexine,20
FR,1900,F,Alfreda,50
FR,1900,F,Alfrede,5
FR,1900,F,Alfredie,5
FR,1900,F,Alfredine,35
FR,1900,F,Alice,2940
FR,1900,F,Alicia,10
FR,1900,F,Alida,75
FR,1900,F,Aliette,15
FR,1900,F,Alina,5
FR,1900,F,Aline,700
FR,1900,F,Alise,10
FR,1900,F,Alix,85
FR,1900,F,Alixe,20
FR,1900,F,Alliette,5
FR,1900,F,Alma,10
FR,1900,F,Almaide,5
FR,1900,F,Alna,5
FR,1900,F,Aloise,5
FR,1900,F,Alphena,5
FR,1900,F,Alphonsia,5
FR,1900,F,Alphonsine,595
FR,1900,F,Alvina,5
FR,1900,F,Alzire,5
FR,1900,F,Amalie,10
FR,1900,F,Amanda,30
FR,1900,F,Amande,5
FR,1900,F,Amandine,15
FR,1900,F,Amante,5
FR,1900,F,Ambroisine,60
FR,1900,F,Amedee,10
FR,1900,F,Amedine,5
FR,1900,F,Amelina,15
FR,1900,F,Ameline,5
FR,1900,F,Amicie,10
FR,1900,F,Aminthe,10
FR,1900,F,Amy,5
FR,1900,F,Amélia,40
FR,1900,F,Amélie,840
FR,1900,F,Ana,5
FR,1900,F,Anaise,35
FR,1900,F,Anastasie,85
FR,1900,F,Anasthasie,10
FR,1900,F,Anathalie,5
FR,1900,F,Anatolie,10
FR,1900,F,Anaïs,235
FR,1900,F,Andreanne,5
FR,1900,F,Andreline,5
FR,1900,F,André,15
FR,1900,F,Andréa,400
FR,1900,F,Andrée,1605
FR,1900,F,Ange,25
FR,1900,F,Angela,25
FR,1900,F,Angelia,5
FR,1900,F,Angelie,5
FR,1900,F,Angelina,150
FR,1900,F,Angeline,180
FR,1900,F,Angelique,120
FR,1900,F,Angelle,10
FR,1900,F,Angèle,1770
FR,1900,F,Anita,25
FR,1900,F,Anna,1905
