country,year,sex,name,count
GB,1996,F,Aaisha,10
GB,1996,F,Aaishah,6
GB,1996,F,Aalia,9
GB,1996,F,Aaliya,11
GB,1996,F,Aaliyah,111
GB,1996,F,Aamena,6
GB,1996,F,Aamenah,5
GB,1996,F,Aamina,14
GB,1996,F,Aaminah,17
GB,1996,F,Aamirah,11
GB,1996,F,Aamna,10
GB,1996,F,Aanisah,12
GB,1996,F,Aarti,8
GB,1996,F,Aasiya,3
GB,1996,F,Aasiyah,3
GB,1996,F,Aatikah,4
GB,1996,F,Aayesha,3
GB,1996,F,Abagail,3
GB,1996,F,Abbe,5
GB,1996,F,Abbee,3
GB,1996,F,Abbey,249
GB,1996,F,Abbeygail,6
GB,1996,F,Abbeygale,4
GB,1996,F,Abbeygayle,4
GB,1996,F,Abbi,72
GB,1996,F,Abbie,1297
GB,1996,F,Abbie-Gayle,3
GB,1996,F,Abbie-Leigh,5
GB,1996,F,Abbie-Louise,4
GB,1996,F,Abbiegail,4
GB,1996,F,Abbigail,47
GB,1996,F,Abbigale,3
GB,1996,F,Abbigayle,5
GB,1996,F,Abby,276
GB,1996,F,Abbygail,8
GB,1996,F,Abbygayle,3
GB,1996,F,Abeda,3
GB,1996,F,Abena,3
GB,1996,F,Abi,47
GB,1996,F,Abibat,3
GB,1996,F,Abida,19
GB,1996,F,Abidah,3
GB,1996,F,Abie,3
GB,1996,F,Abigael,6
GB,1996,F,Abigail,2595
GB,1996,F,Abigale,18
GB,1996,F,Abigayle,25
GB,1996,F,Abiola,5
GB,1996,F,Abirami,3
GB,1996,F,Abisola,4
GB,1996,F,Abisoye,3
GB,1996,F,Abygail,6
GB,1996,F,Acacia,9
GB,1996,F,Ada,5
GB,1996,F,Adaeze,5
GB,1996,F,Adama,5
GB,1996,F,Adeeba,14
GB,1996,F,Adeela,7
GB,1996,F,Adel,4
GB,1996,F,Adela,3
GB,1996,F,Adelaide,17
GB,1996,F,Adele,144
GB,1996,F,Adella,3
GB,1996,F,Adelle,24
GB,1996,F,Adenike,3
GB,1996,F,Adeola,12
GB,1996,F,Aderinsola,3
GB,1996,F,Adesola,4
GB,1996,F,Adetola,3
GB,1996,F,Adewunmi,3
GB,1996,F,Adi,3
GB,1996,F,Adiba,8
GB,1996,F,Adila,3
GB,1996,F,Adilah,4
GB,1996,F,Adina,20
GB,1996,F,Aditi,3
GB,1996,F,Adjoa,4
GB,1996,F,Adriana,10
GB,1996,F,Adriane,4
GB,1996,F,Adrianna,8
GB,1996,F,Adrianne,18
GB,1996,F,Adrienne,40
GB,1996,F,Aeisha,3
GB,1996,F,Aesha,3
GB,1996,F,Afifa,9
GB,1996,F,Afifah,4
GB,1996,F,Afiya,3
