country,year,sex,name,count
NL,1935,F,Geraldine,2
NL,1935,F,Ilonka,1
NL,1935,F,Renee,1
NL,1935,F,Yolanda,1
NL,1936,F,Ilonka,1
NL,1936,F,Renee,1
NL,1936,F,René,1
NL,1937,F,Adriane,2
NL,1937,F,Aimée,1
NL,1937,F,Algonda,1
NL,1937,F,Bea,2
NL,1937,F,Cathérine,1
NL,1937,F,Céline,1
NL,1937,F,Daantje,1
NL,1937,F,Dineke,1
NL,1937,F,Fieke,1
NL,1937,F,Geeltje,2
NL,1937,F,Geraldine,2
NL,1937,F,Gerdine,1
NL,1937,F,Ike,2
NL,1937,F,Ilonka,1
NL,1937,F,Inger,1
NL,1937,F,Jaike,1
NL,1937,F,Janne,1
NL,1937,F,Jelly,2
NL,1937,F,Josefien,1
NL,1937,F,Juliska,1
NL,1937,F,Lisa,1
NL,1937,F,Lotte,1
NL,1937,F,Madelon,1
NL,1937,F,Margaritha,1
NL,1937,F,Mien,1
NL,1937,F,Monika,1
NL,1937,F,Renee,1
NL,1937,F,Rensche,1
NL,1937,F,René,1
NL,1937,F,Rozetta,1
NL,1937,F,Rudy,1
NL,1937,F,Sabine,1
NL,1937,F,Siepke,2
NL,1937,F,Wapke,1
NL,1937,F,Wieke,1
NL,1937,F,Yolanda,1
NL,1937,M,Reinoud,1
NL,1938,F,Aimée,1
NL,1938,F,Engelien,1
NL,1939,F,Aimée,1
NL,1939,F,Blijke,1
NL,1939,F,Christiena,1
NL,1939,F,Engelien,1
NL,1939,F,Fransisca,1
NL,1939,F,Lammy,1
NL,1939,M,Remy,1
NL,1939,M,Sjors,1
NL,1939,M,Sven,1
NL,1940,F,Aimée,1
NL,1940,F,Annet,1
NL,1940,F,Blijke,1
NL,1940,F,Catalina,1
NL,1940,F,Cathérine,1
NL,1940,F,Celestine,1
NL,1940,F,Christiena,1
NL,1940,F,Ciska,1
NL,1940,F,Diane,1
NL,1940,F,Engelien,1
NL,1940,F,Frances,2
NL,1940,F,Geertrude,1
NL,1940,F,Grace,1
NL,1940,F,Hillegiena,1
NL,1940,F,Huibertine,1
NL,1940,F,Inez,2
NL,1940,F,Josefien,1
NL,1940,F,Laetitia,1
NL,1940,F,Meiske,1
NL,1940,F,Michaela,1
NL,1940,F,Renee,3
NL,1940,F,Sabine,1
NL,1940,F,Sita,1
NL,1940,F,Thelma,1
NL,1940,M,Elisa,1
NL,1940,M,Ferenc,1
NL,1940,M,Jimmy,1
NL,1940,M,Patrick,2
NL,1940,M,Remy,1
NL,1940,M,Sven,1
NL,1940,M,Wybe,2
NL,1940,M,Xaverius,1
NL,1941,F,Aafien,2
NL,1941,F,Aimée,1
NL,1941,F,Algonda,2
NL,1941,F,Amanda,2
NL,1941,F,Amy,1
NL,1941,F,Anastatia,1
NL,1941,F,Ankie,3
NL,1941,F,Annegiena,1
NL,1941,F,Annet,1
NL,1941,F,Bendina,1
NL,1941,F,Bernardine,3
NL,1941,F,Blijke,1
NL,1941,F,Catalina,1
NL,1941,F,Cathérine,1
NL,1941,F,Celestine,1
NL,1941,F,Christiena,1
NL,1941,F,Ciska,1
NL,1941,F,Claudia,1
NL,1941,F,Corina,1
